,intrinsic_score
KIAA1671,0.999903963
ZNF10,0.999903939
DMKN,0.999903775
FILIP1,0.999903531
SMPD3,0.999903182
CALY,0.99990315
DNAAF5,0.999903128
SH3BP4,0.999903118
ZNF821,0.999903027
KRT222,0.999902941
GAL3ST4,0.999902741
SYNC,0.999902557
ZBTB20,0.999902398
WFS1,0.999902311
MAP3K13,0.999902206
MFGE8,0.999902159
UBE2Q2P2,0.999901941
SDC1,0.999901926
TXNRD2,0.999901885
SYP,0.99990162
SKOR1,0.999901611
POSTN,0.999901488
TLE2,0.999901272
BSPRY,0.999901269
ALDH7A1,0.99990124
ZNF420,0.999901217
AC005534.2,0.999901137
GAS2L3,0.999901136
CSNK1G1,0.999900931
QPRT,0.999900908
HS6ST1,0.999900801
ATP1A3,0.999900791
LUM,0.999900691
PDE3B,0.999900477
DENND1A,0.999900471
SPNS2,0.999900409
MIXL1,0.999900402
TIAM1,0.999900289
COL11A2,0.999900267
APBB2,0.999900259
IL17RC,0.99989988
PTGES2-AS1,0.999899817
GRAMD4,0.999899585
RAPGEF5,0.999899491
IGHV3-73,0.999899405
IL18R1,0.999898835
ANGPTL8,0.999898513
CDCA4P3,0.999898264
LAMA4,0.999898098
NPR3,0.999897893
CEACAM1,0.999897805
SLC41A3,0.999897684
CHEK1,0.999897544
CRABP2,0.999897509
NUGGC,0.9998975
LYRM4,0.999897375
PICART1,0.999897097
AC091304.1,0.999897058
EXD2,0.999896991
RPL4P2,0.999896868
ANGPTL3,0.999896763
PCDH1,0.999896712
MAP2K6,0.999896665
KCNIP4-IT1,0.999896566
PARD6B,0.999896331
LHB,0.999896326
ZDHHC1,0.999896208
TMEM187,0.999896021
SCO2,0.999895942
TRAIP,0.999895721
IL1R2,0.999895665
RSPH4A,0.999895367
SERINC2,0.999894999
NCEH1,0.999894904
VGLL2,0.999894867
ADGRL1,0.999894808
CGN,0.999894697
AC026688.1,0.999894561
SBF2,0.999894525
IPPK,0.999894447
LILRP2,0.999894291
LRRC37A6P,0.999894177
SNX15,0.999893882
SERGEF,0.999893788
LINC00654,0.999893753
TMEM8B,0.999893701
ACTN4P1,0.999893697
SNX25,0.999893421
DDX31,0.999893119
ATRIP,0.999892975
SMARCE1P2,0.999892832
ARG1,0.999892819
FLT1,0.999892737
RAD52,0.999892597
ITGA1,0.99989255
DDO,0.999892043
ENTPD7,0.999891643
SH3RF1,0.999890977
TRIM66,0.999890974
RPL17-C18orf32,0.99989086
AC068189.1,0.99989083
HLA-DRB6,0.99989065
RN7SL125P,0.999890635
TMEM192,0.999890597
AC027559.1,0.999890495
ARHGEF19,0.999890443
TSPAN12,0.999890308
OMD,0.999890085
LARP6,0.999890025
TMTC4,0.999889951
HSPB8,0.999889623
RAB44,0.999889604
FGFR1,0.99988914
F7,0.999889076
PMP22,0.999889023
KIR2DS4,0.999888982
AFF3,0.999888927
RN7SL218P,0.999888769
RN7SL296P,0.999888769
PDE4B,0.999888671
DET1,0.999888535
EFNB3,0.999888426
RN7SL665P,0.999888396
BMPR1APS1,0.999888044
SLC6A12,0.999888036
C2orf81,0.999887995
RCOR2,0.999887976
AC008393.1,0.999887825
PGAP3,0.999887654
GPAA1P2,0.999887639
ALOX15B,0.999887405
NPM2,0.999887285
BDH1,0.999887185
POLD3,0.999887144
ITGA3,0.999887108
HPDL,0.99988709
ZNF837,0.999886961
ZFAT,0.999886849
JAM2,0.999886735
PSG8-AS1,0.999886724
ZNF540,0.999886594
ZNF23,0.999886386
RORA,0.99988638
EEF1G,0.999886297
LIN7A,0.999886229
GLIS2,0.999886031
LINC01550,0.999886
ZNF704,0.999885979
LAMB1,0.999885827
PPL,0.999885798
GPR25,0.99988574
COL6A1,0.999885679
DUSP21,0.999885575
HAPLN3,0.99988521
ST6GALNAC2,0.999885031
EEF1A1P17,0.999884895
ANKDD1A,0.999884704
FKBP10,0.999884575
ANG,0.999884248
PDLIM3,0.999884212
VSIG10,0.999884144
CPXM1,0.999884028
AC073869.1,0.999883825
ZNF620,0.999883776
WWC2,0.999883699
VSTM1,0.999883419
EPHA2,0.999883134
PRSS16,0.999882547
PMEPA1,0.999882209
ZNF565,0.999882
C2orf15,0.999881973
ABHD6,0.999881878
DLC1,0.999881809
PRR22,0.999881459
ANKRD16,0.999881455
HOXC4,0.999881288
LDAH,0.999881042
ADH1C,0.999880887
PRSS23,0.999880841
CFH,0.999880632
HIVEP3,0.999880462
SHD,0.999880127
STARD9,0.999880071
SMUG1,0.999880058
LIN52,0.999880013
PIF1,0.999880009
HIF3A,0.999880004
JAG2,0.999879908
ZNF781,0.999879526
ANKS6,0.999879483
OR10D5P,0.999879373
FAHD2CP,0.999879358
COMMD1,0.999879072
JADE3,0.999878948
AHNAK2,0.999878825
RPL10AP3,0.999878693
MAPK8IP1,0.999878611
HSF5,0.999878236
TMTC1,0.999878106
FUT10,0.999878007
CLPB,0.999877995
HACD2,0.999877875
PRELP,0.99987779
MYH11,0.999877691
MAMDC4,0.999877657
GOLGA6L3,0.999877593
CROCC,0.999877562
PCDHGB8P,0.999877557
ZNF69,0.999877531
GPNMB,0.999877471
MYH3,0.999877261
ARHGEF18,0.999877204
FMO4,0.999877098
C11orf96,0.999877033
ZDHHC13,0.999876609
CYP1A2,0.999876515
TBC1D3P2,0.999876337
PLPP1,0.999876303
ANKRD53,0.999875964
SMAD6,0.99987586
JAKMIP2,0.999875851
KCNIP2,0.999875762
AADAC,0.999875664
DHRS2,0.999875489
ZNF790-AS1,0.999875446
C12orf73,0.999874755
C2CD4A,0.999874638
SERHL,0.999874568
DBF4B,0.999874237
NRP2,0.999873989
CRIP3,0.999873901
OR51D1,0.999873898
TTC12,0.999873556
ENOX2,0.999873431
LINC01278,0.999873312
LRP3,0.999873261
RPL17P34,0.999873224
HRK,0.9998731
NDUFAF2,0.999873086
GJC2,0.999872892
MSI2,0.999872727
DIO3OS,0.999872719
SLC25A12,0.999872543
DIXDC1,0.999872317
AC008040.1,0.999872237
PLEKHH3,0.99987185
EPB41L4A,0.999871635
PGM5,0.999871529
CXCR6,0.999871067
SCLY,0.999870786
LINC01634,0.999870759
ABCG1,0.999870596
C2orf40,0.999870439
CECR3,0.99987036
SPINK2,0.999869962
TMEM54,0.999869942
TGFBR3,0.999869936
TRIM2,0.999869553
ATP8B1,0.999869409
NDFIP2,0.999868913
NAT1,0.999868569
LINC00996,0.999868523
C11orf63,0.999868448
CYP11B2,0.999868384
NAMPTP3,0.999868105
BORCS5,0.999868092
FAM9A,0.999867917
DBH-AS1,0.999867839
BMX,0.999867486
FOXD4L3,0.999867439
TUFT1,0.999867044
EFEMP1,0.999867021
FRMD8P1,0.999866764
GOLGA8K,0.999866699
CILP2,0.999866193
CDY13P,0.999866179
CDC25A,0.999866075
ITGAD,0.999865793
CA8,0.999865635
EFCC1,0.999865608
AC004947.1,0.999865546
KCND1,0.999865492
SMAD9,0.999865436
AC006026.1,0.999864886
SERPINA10,0.999864737
SFXN2,0.999864083
SLC52A2,0.999863956
ZNF596,0.999863819
LYPD5,0.999863311
ETNK2,0.999863157
UNC13A,0.999863123
BAHCC1,0.999863091
MESP1,0.999862786
IL12A,0.999862671
PACSIN3,0.999862637
BHMT,0.99986263
PLD1,0.999862298
OLFM2,0.999861893
TOX2,0.999861637
LONRF3,0.99986136
FCAMR,0.999861104
DBIL5P,0.999861065
FAM86EP,0.99986105
ELF3,0.999860996
PRSS36,0.999860732
PRG3,0.99986061
NF1P8,0.99986055
NINJ2,0.999860466
SEMA6A,0.999860431
ITGA10,0.999860008
TIMD4,0.999859653
DLG5,0.999859219
ZSCAN31,0.999859214
WDYHV1,0.999858493
LINC01910,0.999858384
MS4A2,0.999858168
MLF1,0.999858054
CRTC1,0.999857793
CEP112,0.999857765
PCDH17,0.999857753
AL590556.1,0.999857462
CYP26B1,0.999857016
ZFYVE28,0.999856686
TMEM220,0.999856529
SUCLA2,0.999856434
AL162457.1,0.999856423
LINC00665,0.999856371
ERRFI1,0.999856049
TUSC7,0.999855992
TMEM237,0.999855651
EPN2,0.999855465
AAMDC,0.99985529
CACNA2D4,0.999855245
FOXRED2,0.999855215
LINC02538,0.999854628
RPL7P38,0.999854506
SLC2A5,0.999854441
PRPF40B,0.99985442
RHOJ,0.999854403
TEK,0.999854376
PRSS41,0.999854227
CCR9,0.999854172
MOB3B,0.999854113
P2RY14,0.999853811
UBBP4,0.999853774
TBC1D16,0.999853459
WARS2,0.999853446
ARL10,0.999853153
AUNIP,0.999853065
EMCN,0.999852873
BHMT2,0.999852815
MAP3K9,0.999852721
MGMT,0.999852592
AC087392.1,0.999852573
RGL1,0.999852541
HLA-F-AS1,0.999852368
TRPV1,0.999852317
ST14,0.999852302
ATP6V1E2,0.999852241
IL1RL1,0.999851976
SLC22A7,0.999851777
SNHG28,0.999851772
ALDH3A1,0.999851381
CYP27B1,0.999850979
ACSM3,0.999850574
SENP8,0.999850432
ZFP2,0.999850336
PPARG,0.999850132
SCGB3A2,0.999850045
APOO,0.999849962
CFB,0.999849634
TGFB3,0.999849242
AC138932.1,0.999848638
LHX6,0.999848635
CASZ1,0.999848538
TBX1,0.999848332
OIP5,0.999847594
GTSE1,0.999847091
TF,0.999847033
MYH1,0.999846917
AC098679.3,0.99984631
TRAV2,0.999845637
DUSP8,0.999844885
FBLIM1,0.999844875
IQCD,0.999844535
AC127024.1,0.999844365
ADGRA2,0.999844362
DCN,0.999844314
TPD52L1,0.999844287
HAR1B,0.999844269
TRAV5,0.999844159
LRRC37A,0.999844052
SLC19A2,0.999843745
VDAC1P9,0.999843246
COL5A3,0.999843108
CNKSR3,0.999843095
AL034550.2,0.99984301
NT5DC3,0.999842354
CRISP3,0.999842337
ADAMTS10,0.999842182
SERPINB4,0.99984197
ATP1A1-AS1,0.999841861
PSAT1,0.999841753
CHN2,0.999841505
CERS4,0.999841478
TMEM38A,0.999841057
APOBEC4,0.999840977
MAPRE3,0.999840103
ZNF793,0.999840077
SLC22A16,0.999839874
AGRN,0.999839864
WFIKKN1,0.999839842
ZNRF1,0.999839713
FGFR3,0.999839398
CA4,0.999839273
ARHGEF39,0.999839219
CCR8,0.999839005
ZNF519,0.99983877
HOXA9,0.999838708
TRIM46,0.999838281
WDR19,0.999838049
COL17A1,0.999837522
AL034376.1,0.9998374
EPS8,0.999837323
RIMS3,0.999836811
MMRN2,0.999836808
SHC2,0.999836745
AC023632.2,0.999836428
IL27,0.999836261
L1CAM,0.999835848
FGF11,0.999835594
RND2,0.999835542
NUF2,0.999835232
SPATA6,0.999835231
CCDC113,0.999834735
OLR1,0.999834712
HSD17B14,0.999834016
TMEM150B,0.999833786
YAE1D1,0.999833734
GGACT,0.99983352
FAM149A,0.999833495
RASA4,0.999833308
RN7SL236P,0.99983263
RN7SL832P,0.999832493
GDPD5,0.999832229
1-Mar,0.999831355
GHET1,0.999831322
HMGB3P15,0.999830561
ATAD3C,0.999830457
TNFRSF9,0.999830374
KNG1,0.999830182
NPTX1,0.999829861
MTERF1,0.999829543
EIPR1,0.999829414
NLRP2,0.999829341
FBXL18,0.999829159
AZGP1,0.99982894
UNC45B,0.999828746
HTRA1,0.999828324
PKLR,0.999828287
CELSR3,0.999827896
EBF1,0.999827553
C2orf78,0.999826927
TRIM16,0.999826659
AL590764.1,0.99982661
SERTAD4,0.999826036
MAST2,0.999826029
CMSS1,0.99982592
DLX2,0.99982534
KDF1,0.999825044
MAATS1,0.999824175
PAGE2B,0.999824149
PALLD,0.999823799
SLCO2A1,0.99982358
KRT8P35,0.999823567
FKTN,0.999823549
AC209007.1,0.999823039
MYL2,0.99982283
IGLL1,0.999822759
PIK3R2,0.999822667
RGS12,0.99982218
TRAM1L1,0.999822116
HGNC:18790,0.999821747
TNK1,0.999821745
POC1A,0.999821225
TCF7L1,0.999820819
ZNF469,0.99982081
MTCO2P34,0.999820806
LINC00662,0.999820766
TRIM36,0.999820765
OSTN-AS1,0.999820597
AFF2,0.999820461
CCL17,0.999820313
BTBD9,0.999820049
2-Mar,0.999819914
MANEAL,0.999819145
OSGIN1,0.999818889
BCL2L10,0.999818708
MSS51,0.999818013
CD200R1,0.999817782
PRDM11,0.999817716
YAP1,0.999817632
BIK,0.999817535
MEX3A,0.99981747
INE2,0.999817402
TRIM61,0.999817345
TMIGD3,0.999817306
GOLGA6L6,0.999817279
CCDC151,0.999816467
AC234778.1,0.999816312
FCRL4,0.999815132
CKMT2-AS1,0.999814866
CEP83-AS1,0.999814816
SERPINA7,0.999814672
SYNGR1,0.999814406
ZNF578,0.999814221
LINC02423,0.999814096
B3GALNT1,0.999813985
PTGIS,0.99981376
PTRH1,0.999813686
C1QTNF5,0.999813585
RPSAP70,0.999813318
CHST3,0.999813039
VASN,0.999812232
CC2D2A,0.999812196
OLFML2B,0.999812023
COL8A2,0.999811293
LMTK3,0.999811205
C3orf70,0.999811132
PCNX2,0.999811031
ESCO2,0.999810854
WDR92,0.999810747
P2RY6,0.99981056
TMEM51,0.99981053
AC138749.1,0.999810113
ABCB1,0.999810008
DGKK,0.999809634
HMGCS2,0.99980958
KCNJ5,0.999809196
LINC01503,0.999808204
POF1B,0.999807795
CYGB,0.999807642
SNX7,0.999807632
RPL7P22,0.999806814
LINC01767,0.999806287
MKLN1-AS,0.999805707
PLEKHN1,0.999805644
KIAA0391,0.999805321
IGF1,0.999805132
GLS2,0.999805037
DNAJC9-AS1,0.999804662
CCDC85C,0.999804421
SNAI3-AS1,0.999804405
TEAD4,0.999804348
PLAC4,0.999804103
KIAA1217,0.999803728
GRAPL,0.999803666
AC090587.1,0.999803514
TRIM45,0.999803349
HNRNPA1P30,0.999803267
ADTRP,0.999802905
ABCB10P4,0.9998028
LINC02453,0.999802542
PXYLP1,0.999802151
SYDE2,0.999801546
SPAAR,0.999800908
BMP2,0.999800671
TCN1,0.999800205
IL12RB2,0.999800058
3-Mar,0.999799499
RASGEF1B,0.999799249
DCHS1,0.999799119
EPB41L5,0.999799079
IQSEC3,0.999798913
PRKCE,0.999798749
PEX14,0.999798416
LRRC56,0.999798265
SEMA3D,0.999798175
KRT73-AS1,0.999797635
RGS5,0.999797402
SARNP,0.999796653
FTCDNL1,0.99979655
NCS1,0.999796537
LINC00705,0.999795248
PRSS8,0.999795094
ZNF391,0.999794778
XYLT1,0.999794704
ARHGAP24,0.99979442
PLA2G12B,0.99979392
PTOV1-AS1,0.999793854
AQP12B,0.9997936
NEURL1,0.999793328
SYNPO2,0.999792474
PRKCZ,0.999792311
POLR3B,0.999791943
FBXL22,0.999791842
LRIG1,0.999791837
CYP2D6,0.99979166
CPLX1,0.999790906
AC104024.1,0.999790099
AC093157.1,0.999789885
IRAK1BP1,0.999789677
UBE2E2,0.99978936
STEAP3,0.999788951
DIO1,0.999788686
AL121723.1,0.999788239
PCLAF,0.999788183
NXPH4,0.999788045
FOXA2,0.999787319
PDE9A,0.99978723
PLB1,0.999787184
HPN,0.999786728
ZNF433,0.999786488
EHHADH,0.999786378
SIRT4,0.999786193
PGF,0.999786115
NETO2,0.999785202
DNM1P46,0.999785041
CD276,0.999784986
LINC01268,0.999784464
PANK1,0.999783891
GRM2,0.999783882
NEDD4L,0.999783329
PTPDC1,0.999782904
FAM124A,0.999782745
LY75,0.999782597
MYO1B,0.999782287
STXBP6,0.999781504
CNKSR1,0.999781409
NLGN3,0.999781088
STK36,0.999780925
LMOD1,0.999780598
C11orf80,0.999780553
C17orf51,0.999780155
NHSL1,0.999780141
NR3C2,0.999779431
FAM69A,0.999779305
EDN3,0.999779305
ALPI,0.999779163
ANKRD36BP1,0.999778831
EEFSEC,0.999778736
EML5,0.999778661
ALDH1A3,0.999778555
SPIN3,0.99977854
MYBPC2,0.999778083
MOCS1,0.999778081
RGL3,0.99977803
TXNRD3,0.999777562
SIX1,0.999776615
PROCR,0.999776173
ZNF774,0.999775866
DKK3,0.999775854
GPAM,0.999775557
RNF32,0.999775525
SULF1,0.999775338
GPRC5C,0.999774781
PAPLN,0.99977477
AL161785.1,0.999774593
GALNT15,0.99977436
KIF5C,0.999774326
LINC00477,0.999774164
H2AFY2,0.999774043
DAB2IP,0.999773693
AASS,0.99977353
MTCL1,0.999773159
SPINT1-AS1,0.999772949
STK4-AS1,0.999772433
RPS4XP8,0.999772333
POMT2,0.999771885
MORC4,0.999771836
EXD3,0.999771525
CDH1,0.999771468
CYP3A4,0.99977145
NKX1-2,0.999771341
MMP19,0.999771314
PLCB1,0.999771249
JAKMIP1,0.999771197
MUC3A,0.999770179
WWC2-AS2,0.999769906
ABCG2,0.999769376
PKP1,0.999769349
TNFSF15,0.999769285
COL4A1,0.999767997
RBM26-AS1,0.999767985
ITIH2,0.999767502
NOS1,0.999767352
PLEKHG5,0.99976708
ESPL1,0.999766949
VAX1,0.999766667
PARM1,0.999765214
RAC3,0.999764346
KRT18P6,0.999764159
FAM83F,0.999764055
PEMT,0.999763885
TACR2,0.99976353
TUBA3FP,0.999763452
AP002495.1,0.99976343
PTPRH,0.999762937
KIR3DX1,0.999761782
LRRC3,0.999760229
MECOM,0.999760166
RBFOX2,0.999759838
KLHDC8A,0.999759272
P3H4,0.999759228
DUSP15,0.999758655
KCNJ12,0.999758148
AC242376.2,0.999757504
FLJ16779,0.999757065
HNRNPA1P64,0.999756959
FAM57A,0.999756773
MID2,0.999755275
SCN4A,0.999754568
RPL13P2,0.999754462
SLCO2B1,0.999754213
PCDHB10,0.999754163
HS3ST1,0.999753624
NHEJ1,0.999753452
ZEB1-AS1,0.999753036
AL513548.3,0.999752948
PALD1,0.999752422
CPM,0.99975197
NXN,0.999751852
SPATA4,0.999751471
CRYBB1,0.999751354
MYLK4,0.999751218
WSCD1,0.999750849
AMPD1,0.999750206
ZNF521,0.999749574
PUDP,0.999749548
PCDHB4,0.99974898
KANK1,0.99974837
PTCD1,0.999748137
CHST1,0.999747951
ZNF670,0.999747645
C14orf79,0.999747235
SNCAIP,0.999747141
EVC,0.999746395
HTR2B,0.999746258
NME8,0.999745805
FZD6,0.999745164
STYK1,0.999744819
ERICH3-AS1,0.99974447
ALG1,0.99974401
ZFHX3,0.999743987
SHF,0.999743916
MAN1C1,0.999743711
IQCK,0.999743496
PEX11G,0.999743399
RSPO3,0.999742792
AC012498.1,0.99974219
SOSTDC1,0.999741035
IGHV3-65,0.999739826
MEPE,0.999739798
CASQ1,0.999739375
STARD13,0.999739266
CORO2B,0.999738171
ADH1A,0.999737395
COL4A2,0.999737178
LINC01558,0.999737169
TSHZ2,0.999736365
MCC,0.999736242
SYT15,0.999736133
PRICKLE2,0.999735781
OR2C1,0.999735627
NXPE4,0.999735434
LOXL4,0.999735434
CPA4,0.999734674
EXT1,0.999733775
VPS37D,0.999733762
BHLHE40-AS1,0.999733418
SELE,0.999733146
TBATA,0.999732836
CALB2,0.999732804
MOK,0.999732718
LINC01545,0.999732372
SRP14-AS1,0.999731915
EML1,0.999730354
GPR161,0.999729697
TMEM125,0.999727554
SH2D4A,0.999727534
EMBP1,0.999727254
PDXDC2P-NPIPB14P,0.999727118
AC013470.3,0.999727077
AC107884.1,0.999726499
OLMALINC,0.999726381
PLLP,0.999725998
NKD1,0.999725975
HRH4,0.999725968
NFATC4,0.999725705
HLCS,0.999725271
ZNF114,0.999724801
LGR6,0.999724424
STOX2,0.999724386
SLC25A14,0.999723866
RASSF10,0.999723772
DOCK4,0.999723313
CDH23,0.999723025
FRRS1L,0.999722817
MYLK2,0.999722158
SLN,0.999721928
CASK,0.999721151
AQP7,0.999720976
CHRNE,0.999720494
ALG9,0.999720475
PTGES,0.999720196
RPL23AP8,0.999719733
AK4,0.999719517
MET,0.999718812
STAB2,0.999718535
ACOXL-AS1,0.999718024
TRAF3IP2-AS1,0.999716785
AC090013.1,0.999716779
PDSS2,0.99971648
FRMD4A,0.999716474
NPHP1,0.9997158
CPEB3,0.999715491
ELN,0.999715419
LINC02516,0.99971492
PNPLA7,0.999714623
GIPR,0.999714351
LARS2,0.999714342
ANGPT2,0.999714303
SYCE1L,0.999713613
MED27,0.999712642
EEF1DP5,0.999712319
RPL7AP14,0.999712045
PHYHIP,0.999710387
ITIH5,0.999709133
TTC25,0.99970907
ADGRL4,0.999708802
RPL12P7,0.999708506
TMPRSS9,0.999708413
NPIPB14P,0.999707951
TMIE,0.999707354
NECTIN1,0.999707212
RCC2P5,0.999707127
KCTD14,0.999707108
ALG14,0.999706914
TRAV39,0.99970496
AC093270.2,0.999704861
SCART1,0.999704575
TSPAN10,0.999704467
ZDHHC9,0.999704224
NINL,0.999704116
ADAMTS9,0.999703993
SLC22A18AS,0.999703719
AL031666.2,0.999702893
SSPN,0.999702705
RAD54L,0.999702386
LINC01771,0.999701803
PPP2R2B,0.999700258
GFPT2,0.999699333
FAM20C,0.999699261
CXorf57,0.999699225
RPL23AP77,0.999699089
CD207,0.999698847
NPAS2,0.999698524
TMEM213,0.999697828
FBLN7,0.99969782
MYO1D,0.999697748
COL7A1,0.999696944
ATP6AP1L,0.999696753
RTL3,0.999695911
LOXL1,0.999695344
TRBV10-1,0.999694324
PRKY,0.999694101
RPH3AL,0.999693483
AC007906.2,0.999693224
ULBP1,0.999692731
GOLGA2P7,0.999692667
GPA33,0.999692621
SLC38A4,0.999692501
HEYL,0.999692104
ADAMTS5,0.999692059
IGKV1-37,0.99969196
MDS2,0.999691263
ATOH8,0.999691221
GLIDR,0.999691059
MEI1,0.99969027
P4HA2,0.999689884
CYP4F12,0.999689554
APOC2,0.999689533
RMST,0.9996887
CHRM3-AS2,0.999688689
AC019171.1,0.99968812
LINC01093,0.999687755
DPCR1,0.999686744
AL929601.3,0.99968672
EPB41L1,0.9996866
TMC5,0.999686098
AUTS2,0.999684172
KIAA1024,0.999684039
CAND2,0.999683619
LRRC1,0.999683282
ALDH4A1,0.999683013
ARFGEF3,0.999682991
KCNQ1,0.999682412
CPA3,0.999682187
AL365366.1,0.999682115
SOX11,0.999682034
HPR,0.999681694
CA9,0.999681578
SLC7A2,0.999681301
SSUH2,0.999679257
NTN4,0.999679226
RPSAP53,0.999678759
LOR,0.999678502
ITPKA,0.999676923
RPSAP29,0.999676149
KREMEN1,0.999675408
GRAMD1B,0.999674974
ADAMDEC1,0.999673785
AL512422.1,0.999673644
CCDC170,0.999673612
C19orf18,0.999673595
FRMPD3,0.9996734
MEG3,0.999672468
NEUROD2,0.999672366
MAP6D1,0.999672032
SCN3A,0.999671902
CCDC188,0.999671799
RPSAP11,0.999671675
CNKSR2,0.999670841
TNFAIP8L3,0.999670409
LINC01781,0.999669947
RPL5P6,0.999669811
AC006453.2,0.999669735
B3GLCT,0.999668576
TSPAN7,0.999668478
MAGI1,0.999668337
PDE7B,0.999668035
BTNL8,0.999667797
LCE3E,0.999667144
SULT2A1,0.999666153
NEBL,0.999666124
SIX4,0.999665584
WDR66,0.999665374
KRTAP5-3,0.999664964
ST5,0.999664766
TTLL11,0.999664624
TLL1,0.999664402
SERPINB2,0.999664238
CLDN11,0.999664197
RPL18P13,0.99966419
PFN2,0.999663749
SERPINA5,0.999663443
SPTBN2,0.999663411
SPINK5,0.999662037
FAM72D,0.999661354
SIX3-AS1,0.999661236
ARHGEF17,0.999659515
KIAA0087,0.999659511
C1S,0.99965914
TACC2,0.99965858
ANXA8L1,0.9996581
SPATA18,0.999658097
CRADD,0.999658007
GNA14,0.999657993
AC004540.1,0.999657866
RBPMS,0.999657761
LINC01554,0.999657664
ATP5A1P3,0.99965725
GCKR,0.999656639
COL15A1,0.999656171
LRCH2,0.999655105
BCAR3,0.999654931
AL359092.2,0.999654737
RIMS1,0.999654709
LRRC15,0.999654277
CATSPER2,0.999654075
CCR6,0.99965333
PPM1H,0.999653089
ATP10A,0.999653056
MAP3K21,0.99965182
SCG3,0.999651326
RRAD,0.999650345
CNR1,0.999650186
CLDN18,0.99964961
SMTNL2,0.999648984
PPIL6,0.999647869
SH3PXD2B,0.999647257
PTPRM,0.999646666
MYRIP,0.999646629
FMO3,0.999646575
GPLD1,0.999646371
CHN1,0.999646303
SERPINB12,0.999646188
FRRS1,0.999645902
CA3,0.999644757
FARP1,0.999643639
SCARF2,0.999643
PIGR,0.999641692
RHOD,0.99964152
EXPH5,0.999641218
APOBEC2,0.999641079
RIBC2,0.999640958
AC104771.1,0.99964073
SFTA2,0.999639188
AL121956.1,0.999639178
ATP6V1B1-AS1,0.999637961
RTP5,0.99963742
ZNF709,0.999635929
ARTN,0.999634392
HNRNPA3P7,0.99963402
CPNE7,0.999633644
ALMS1P1,0.999633396
LZTS1,0.999631452
DZANK1,0.99963127
SLCO4A1,0.999629917
SDR9C7,0.999628178
LINC00638,0.999628005
LRRC49,0.99962657
IQGAP3,0.999625534
CCDC13,0.999625482
DEPTOR,0.99962491
EFR3B,0.999622062
PTCHD3,0.999621548
FAM187B,0.999620356
ENPP1,0.999619703
C2orf72,0.9996196
KDELC1,0.99961939
NR2F1-AS1,0.999617512
SLC16A1-AS1,0.999617359
TFAP2E,0.999617331
BVES,0.999617067
HR,0.99961693
ADGRF3,0.999615966
PITX3,0.999615889
NRIP2,0.999615736
GFRA2,0.999615294
MRVI1-AS1,0.999614105
SBSPON,0.999613892
SEMA3F,0.999613857
PSD,0.999613041
FAM81A,0.999612769
TOB1-AS1,0.999611314
KCNK5,0.999610823
C11orf70,0.999610341
GRAMD1C,0.999609955
F9,0.999609803
HKDC1,0.999607634
TMSB15B,0.999607546
PROC,0.999607366
C6orf132,0.999607204
C9orf43,0.999606478
HSD17B6,0.99960603
ADM2,0.99960553
CADPS2,0.999604518
BOC,0.999604059
SALL1,0.999603777
KIAA1211L,0.999601537
FARS2,0.999601226
SLC17A4,0.999601184
LNX1,0.999600974
KLHL4,0.999600515
NMNAT2,0.999599418
ZBTB8A,0.999599161
FBN1,0.999598728
SLC35G2,0.999598702
CDHR4,0.999598093
TGFA,0.999597919
GKN2,0.99959788
DOC2A,0.999597858
LINC00877,0.999596914
GIPC2,0.999596206
CLTCL1,0.999595228
PLCH2,0.999593838
RAG1,0.999593325
NPIPB13,0.999593298
MEIS2,0.999593004
SLC12A3,0.99959256
AL669942.1,0.999591948
MUC6,0.9995905
LINC01736,0.999588997
DNTT,0.999588462
AC092118.1,0.999588087
GC,0.999587432
TPPP,0.999583644
SCN3B,0.999583371
ENTPD3-AS1,0.999583258
CYB5R2,0.999582102
OCLN,0.999581981
SPEF2,0.999581617
ACOX2,0.999581141
AC099548.2,0.999580996
ASCL1,0.999580456
LNP1,0.999580314
GNAS-AS1,0.99958031
SOBP,0.999579508
VSX2,0.999579429
GMDS,0.999578685
ZNF365,0.999578206
LRP5,0.999577564
STAP2,0.999576272
GRAMD2B,0.999575199
NPHP4,0.999574909
PLPP2,0.999574392
BNC1,0.999574139
PMF1-BGLAP,0.999571834
BTNL3,0.999571381
SCARA3,0.99957082
CXXC5-AS1,0.999569087
SHISA8,0.999568947
LRRN2,0.999567211
CCDC85A,0.99956682
AP001267.3,0.999566653
MYOM3,0.999565589
LINC01913,0.999565311
ALX4,0.999565251
NEK5,0.999565245
CEACAM19,0.999563213
GPR61,0.99956273
APCDD1,0.999561179
ADAMTS7P4,0.999560453
ITGA9,0.999560416
MMP24,0.999560404
PCSK5,0.999560027
ADAMTSL2,0.999559441
RHPN2,0.999559424
ANTXR1,0.999558688
CACNA2D2,0.999556542
C4BPA,0.999556203
KRTAP9-1,0.999555504
AL050343.1,0.999555196
CSGALNACT1,0.99955443
KIAA1614,0.999553966
KCNJ8,0.999552046
XXYLT1,0.999551821
AOX1,0.999550927
FBXO36,0.999550915
C15orf48,0.999548778
OXCT2P1,0.999546645
ZNF541,0.99954664
FGF18,0.999545323
IFT43,0.999544966
SLC38A11,0.99954462
BNC2,0.999541501
RASSF6,0.999540487
ASPA,0.999539944
ANKRD29,0.999539619
RTL1,0.999538042
