ensemble,gene,exon length,transcript length,gene length
ENSG00000129757,CDKN1C,7580,11017,2668
ENSG00000129810,SGO1,19387,251935,25699
ENSG00000129816,TTTY1B,905,21133,21133
ENSG00000129824,RPS4Y1,3548,140854,90514
ENSG00000129845,TTTY1,905,21133,21133
ENSG00000129862,VCY1B,548,741,741
ENSG00000129864,VCY,548,741,741
ENSG00000129873,CDY2B,4319,4761,2810
ENSG00000129910,CDH15,5658,49988,23725
ENSG00000129911,KLF16,5655,41904,11169
ENSG00000129925,TMEM8A,10360,50045,16340
ENSG00000129932,DOHH,6449,36643,10118
ENSG00000129933,MAU2,27228,164618,38074
ENSG00000129946,SHC2,9754,125230,44413
ENSG00000129951,PLPPR3,5837,26860,9489
ENSG00000129965,INS-IGF2,3975,64691,29814
ENSG00000129968,ABHD17A,15252,38061,8737
ENSG00000129988,LBP,1946,30667,30667
ENSG00000129990,SYT5,14778,45383,9242
ENSG00000129991,TNNI3,5557,29396,6006
ENSG00000129993,CBFA2T3,16614,484546,102346
ENSG00000130005,GAMT,2767,8980,4544
ENSG00000130021,PUDP,7277,540670,99270
ENSG00000130023,ERMARD,17838,221197,29962
ENSG00000130024,PHF10,14260,97344,21661
ENSG00000130032,PRRG3,8631,29164,10800
ENSG00000130035,GALNT8,10827,224077,131586
ENSG00000130037,KCNA5,2799,2799,2799
ENSG00000130038,CRACR2A,18730,384876,158186
ENSG00000130045,NXNL2,5050,113803,49173
ENSG00000130052,STARD8,20023,275479,78176
ENSG00000130054,FAM155B,4010,27267,27267
ENSG00000130055,GDPD2,10525,48879,10359
ENSG00000130066,SAT1,8834,19824,3053
ENSG00000130119,GNL3L,5346,75390,30860
ENSG00000130147,SH3BP4,19905,545488,103741
ENSG00000130150,MOSPD2,9945,159351,48886
ENSG00000130158,DOCK6,22989,157761,63186
ENSG00000130159,ECSIT,12774,222858,23258
ENSG00000130164,LDLR,27728,347831,44454
ENSG00000130165,ELOF1,8459,37512,8089
ENSG00000130167,TSPAN16,5014,106317,30857
ENSG00000130173,ANGPTL8,3014,13179,4493
ENSG00000130175,PRKCSH,18663,108746,15680
ENSG00000130176,CNN1,9075,64072,11606
ENSG00000130177,CDC16,15854,261893,37836
ENSG00000130182,ZSCAN10,12855,71192,10427
ENSG00000130193,THEM6,5082,21323,9724
ENSG00000130202,NECTIN2,7417,94415,43053
ENSG00000130203,APOE,4486,14129,3639
ENSG00000130204,TOMM40,10149,62873,13120
ENSG00000130208,APOC1,4134,38926,5102
ENSG00000130222,GADD45G,2727,3745,1542
ENSG00000130224,LRCH2,9756,246902,123456
ENSG00000130226,DPP6,28223,4396190,1007188
ENSG00000130227,XPO7,14205,343905,86914
ENSG00000130234,ACE2,9236,98358,41115
ENSG00000130244,FAM98C,12300,37543,5953
ENSG00000130254,SAFB2,11699,119551,37047
ENSG00000130255,RPL36,4698,42569,16929
ENSG00000130270,ATP8B3,21866,127245,30201
ENSG00000130283,GDF1,2509,27551,27551
ENSG00000130287,NCAN,9833,74506,40260
ENSG00000130294,KIF1A,35080,393844,106544
ENSG00000130299,GTPBP3,28400,68577,7815
ENSG00000130300,PLVAP,3184,52529,25902
ENSG00000130303,BST2,1801,5744,2709
ENSG00000130304,SLC27A1,17713,177976,37399
ENSG00000130305,NSUN5,10490,33681,6350
ENSG00000130307,USHBP1,14776,85832,33610
ENSG00000130309,COLGALT1,9100,64671,27568
ENSG00000130311,DDA1,6273,44647,13783
ENSG00000130312,MRPL34,4170,34384,14234
ENSG00000130313,PGLS,5655,41542,9659
ENSG00000130332,LSM7,4007,35236,7103
ENSG00000130338,TULP4,21066,712712,279592
ENSG00000130340,SNX9,9269,533444,244690
ENSG00000130347,RTN4IP1,3118,126624,57516
ENSG00000130348,QRSL1,6655,74311,38839
ENSG00000130349,C6orf203,3076,47167,23129
ENSG00000130363,RSPH3,11409,74644,27316
ENSG00000130368,MAS1,9840,9840,9840
ENSG00000130377,ACSBG2,17853,414769,57847
ENSG00000130382,MLLT1,5680,74204,69569
ENSG00000130383,FUT5,3901,6629,4714
ENSG00000130385,BMP15,1177,5823,5823
ENSG00000130396,AFDN,66128,1373352,145101
ENSG00000130402,ACTN4,17099,491297,83934
ENSG00000130413,STK33,26056,2027292,202421
ENSG00000130414,NDUFA10,19406,658006,132952
ENSG00000130427,EPO,1325,2900,2900
ENSG00000130429,ARPC1B,15735,216804,20552
ENSG00000130433,CACNG6,4124,60068,20381
ENSG00000130449,ZSWIM6,5487,213897,213897
ENSG00000130475,FCHO1,40642,640513,40850
ENSG00000130477,UNC13A,38260,426380,87037
ENSG00000130479,MAP1S,18910,147443,15274
ENSG00000130487,KLHDC7B,2990,2990,2990
ENSG00000130489,SCO2,5210,14074,4909
ENSG00000130508,PXDN,22133,451759,112965
ENSG00000130511,SSBP4,11121,119654,15698
ENSG00000130513,GDF15,3440,33556,14445
ENSG00000130517,PGPEP1,13970,188368,29363
ENSG00000130518,KIAA1683,22501,103951,17412
ENSG00000130520,LSM4,5891,80609,17044
ENSG00000130522,JUND,2360,2772,1862
ENSG00000130528,HRC,5186,11768,4226
ENSG00000130529,TRPM4,30572,393545,54095
ENSG00000130538,OR11H1,981,981,981
ENSG00000130540,SULT4A1,7779,123957,37994
ENSG00000130544,ZNF557,7988,33037,18524
ENSG00000130545,CRB3,3869,11562,3444
ENSG00000130558,OLFM1,17263,237033,45757
ENSG00000130559,CAMSAP1,26524,345506,98741
ENSG00000130560,UBAC1,5436,75789,28411
ENSG00000130561,SAG,24583,301160,39239
ENSG00000130584,ZBTB46,13758,224367,87578
ENSG00000130589,HELZ2,22017,35561,16153
ENSG00000130590,SAMD10,4279,17031,5895
ENSG00000130592,LSP1,19080,288617,39297
ENSG00000130595,TNNT3,12250,205041,19144
ENSG00000130598,TNNI2,3969,10874,2691
ENSG00000130600,H19,19321,30515,6307
ENSG00000130612,CYP2G1P,3370,18485,9682
ENSG00000130635,COL5A1,21910,490863,203069
ENSG00000130638,ATXN10,11713,787985,173509
ENSG00000130640,TUBGCP2,26269,189618,33707
ENSG00000130643,CALY,3720,33565,12863
ENSG00000130649,CYP2E1,16753,108210,40814
ENSG00000130653,PNPLA7,22824,288862,90581
ENSG00000130656,HBZ,752,1816,1816
ENSG00000130669,PAK4,21921,426420,57046
ENSG00000130675,MNX1,7960,53433,16600
ENSG00000130684,ZNF337,7376,55234,22626
ENSG00000130695,CEP85,18471,172180,44885
ENSG00000130699,TAF4,14090,239202,112341
ENSG00000130700,GATA5,2588,12473,12473
ENSG00000130701,RBBP8NL,2779,17296,17296
ENSG00000130702,LAMA5,22815,103956,59357
ENSG00000130703,OSBPL2,22988,274187,64291
ENSG00000130706,ADRM1,5698,24748,6769
ENSG00000130707,ASS1,9377,306385,56345
ENSG00000130711,PRDM12,2471,18387,18387
ENSG00000130713,EXOSC2,16516,99355,11173
ENSG00000130714,POMT1,27401,174445,20904
ENSG00000130717,UCK1,13153,50336,7467
ENSG00000130720,FIBCD1,12521,162939,36848
ENSG00000130723,PRRC2B,34938,236758,106104
ENSG00000130724,CHMP2A,6160,20654,3558
ENSG00000130725,UBE2M,3339,8051,3248
ENSG00000130726,TRIM28,14763,31289,6631
ENSG00000130731,METTL26,9829,23843,1939
ENSG00000130733,YIPF2,11234,46452,6496
ENSG00000130734,ATG4D,12515,82104,9523
ENSG00000130741,EIF2S3,4642,42404,23255
ENSG00000130748,TMEM160,660,2723,2723
ENSG00000130749,ZC3H4,15331,141064,49565
ENSG00000130751,NPAS1,9722,110709,25955
ENSG00000130755,GMFG,6613,93435,14019
ENSG00000130758,MAP3K10,9726,85783,23831
ENSG00000130762,ARHGEF16,12586,76503,26687
ENSG00000130764,LRRC47,5303,23743,17946
ENSG00000130766,SESN2,3443,22964,22964
ENSG00000130768,SMPDL3B,8587,124835,24164
ENSG00000130770,ATPIF1,3476,16671,10797
ENSG00000130772,MED18,4502,25884,6965
ENSG00000130775,THEMIS2,15621,113049,14142
ENSG00000130779,CLIP1,60975,1165060,151200
ENSG00000130783,CCDC62,15037,262267,53201
ENSG00000130787,HIP1R,16427,88935,28507
ENSG00000130803,ZNF317,15696,97098,23044
ENSG00000130810,PPAN,7543,20358,5345
ENSG00000130811,EIF3G,14414,48106,4901
ENSG00000130812,ANGPTL6,5809,26645,10458
ENSG00000130813,C19orf66,13814,45367,7130
ENSG00000130816,DNMT1,39445,525426,97941
ENSG00000130818,ZNF426,7988,38872,15421
ENSG00000130821,SLC6A8,10913,27385,8494
ENSG00000130822,PNCK,29279,157940,19280
ENSG00000130826,DKC1,13366,81886,14947
ENSG00000130827,PLXNA3,10528,24832,19498
ENSG00000130829,DUSP9,5141,18435,8834
ENSG00000130830,MPP1,19204,318552,42323
ENSG00000130844,ZNF331,29263,651823,59288
ENSG00000130856,ZNF236,26189,512597,148120
ENSG00000130876,SLC7A10,7235,65707,17186
ENSG00000130881,LRP3,8720,54538,31264
ENSG00000130921,C12orf65,12547,150175,25043
ENSG00000130935,NOL11,12089,96309,26698
ENSG00000130939,UBE4B,17520,425581,148407
ENSG00000130940,CASZ1,20389,394173,160046
ENSG00000130943,PKDREJ,7692,7692,7692
ENSG00000130948,HSD17B3,4957,177591,66846
ENSG00000130950,NUTM2F,5062,20896,10448
ENSG00000130956,HABP4,8053,90577,41135
ENSG00000130957,FBP2,1298,35073,35073
ENSG00000130958,SLC35D2,5295,194962,63004
ENSG00000130962,PRRG1,22330,864963,108020
ENSG00000130985,UBA1,15724,91763,24267
ENSG00000130988,RGN,9680,72608,14959
ENSG00000130997,POLN,18722,708910,170203
ENSG00000131002,TXLNGY,22156,191357,38961
ENSG00000131007,TTTY9B,3129,16821,9315
ENSG00000131013,PPIL4,3305,53894,41305
ENSG00000131015,ULBP2,1344,7235,7235
ENSG00000131016,AKAP12,28050,288613,118558
ENSG00000131018,SYNE1,207183,4046260,516117
ENSG00000131019,ULBP3,1714,10404,5945
ENSG00000131023,LATS1,23159,284873,60103
ENSG00000131037,EPS8L1,23823,99334,15903
ENSG00000131042,LILRB2,17839,86950,7363
ENSG00000131043,AAR2,6573,75375,34459
ENSG00000131044,TTLL9,23176,638548,74261
ENSG00000131050,BPIFA2,2151,32902,19644
ENSG00000131051,RBM39,50636,681037,40965
ENSG00000131055,COX4I2,1022,14013,7118
ENSG00000131059,BPIFA3,5669,41716,10448
ENSG00000131061,ZNF341,16791,246828,60612
ENSG00000131067,GGT7,4720,47861,28140
ENSG00000131068,DEFB118,1156,5305,5305
ENSG00000131069,ACSS2,24043,727325,55816
ENSG00000131080,EDA2R,11241,123984,43661
ENSG00000131089,ARHGEF9,33274,1652750,174307
ENSG00000131094,C1QL1,1293,8378,8378
ENSG00000131095,GFAP,17584,82748,13776
ENSG00000131096,PYY,1623,52782,51731
ENSG00000131097,HIGD1B,2415,12816,4127
ENSG00000131100,ATP6V1E1,7767,218699,36682
ENSG00000131115,ZNF227,17652,230551,29721
ENSG00000131116,ZNF428,2799,30317,12655
ENSG00000131126,TEX101,3592,24491,17101
ENSG00000131127,ZNF141,8776,191762,47050
ENSG00000131142,CCL25,3052,33976,9883
ENSG00000131143,COX4I1,17351,108838,8411
ENSG00000131148,EMC8,7596,65822,27850
ENSG00000131149,GSE1,37180,283326,506679
ENSG00000131152,AC010531.1,948,31397,31397
ENSG00000131153,GINS2,3822,33706,13875
ENSG00000131165,CHMP1A,11796,88861,13414
ENSG00000131171,SH3BGRL,4328,329056,96604
ENSG00000131174,COX7B,3644,17505,7935
ENSG00000131183,SLC34A1,9831,49585,19613
ENSG00000131187,F12,7189,16025,7436
ENSG00000131188,PRR7,5090,36253,9841
ENSG00000131196,NFATC1,44020,1431714,133469
ENSG00000131203,IDO1,9369,117291,26169
ENSG00000131233,GJA9,3697,8936,7136
ENSG00000131236,CAP1,22876,451333,32416
ENSG00000131238,PPT1,10458,177027,26266
ENSG00000131242,RAB11FIP4,20356,410695,146593
ENSG00000131263,RLIM,11786,53899,29400
ENSG00000131264,CDX4,1512,7991,7991
ENSG00000131269,ABCB7,14483,696297,103560
ENSG00000131323,TRAF3,24433,751561,134024
ENSG00000131351,HAUS8,11560,134885,25896
ENSG00000131355,ADGRE3,9016,244329,70910
ENSG00000131368,MRPS25,9639,87270,22875
ENSG00000131370,SH3BP5,12234,519247,86515
ENSG00000131373,HACL1,15317,335234,41148
ENSG00000131374,TBC1D5,32864,9534672,1287655
ENSG00000131375,CAPN7,10303,106724,46766
ENSG00000131378,RFTN1,12634,1304723,200452
ENSG00000131379,C3orf20,9708,311538,97935
ENSG00000131381,RBSN,15372,111251,29090
ENSG00000131386,GALNT15,13610,215816,57343
ENSG00000131389,SLC6A6,26707,569299,86773
ENSG00000131398,KCNC3,11956,52751,21578
ENSG00000131400,NAPSA,8657,30276,7353
ENSG00000131401,NAPSB,5666,50643,10971
ENSG00000131408,NR1H2,16123,185242,53329
ENSG00000131409,LRRC4B,6821,134351,51153
ENSG00000131435,PDLIM4,6685,66022,15783
ENSG00000131437,KIF3A,17587,193063,45010
ENSG00000131446,MGAT1,25688,289534,30870
ENSG00000131459,GFPT2,7625,144811,52697
ENSG00000131462,TUBG1,5418,19446,5558
ENSG00000131467,PSME3,24843,131508,19373
ENSG00000131469,RPL27,5545,30931,4686
ENSG00000131470,PSMC3IP,9585,41362,5516
ENSG00000131471,AOC3,14474,30830,6946
ENSG00000131473,ACLY,22427,317152,63634
ENSG00000131475,VPS25,4566,23160,6163
ENSG00000131477,RAMP2,3400,12793,4594
ENSG00000131480,AOC2,5221,12210,6107
ENSG00000131482,G6PC,5768,37225,12572
ENSG00000131484,AC091132.1,545,747,747
ENSG00000131495,NDUFA2,2718,15647,9045
ENSG00000131503,ANKHD1,52199,868847,138042
ENSG00000131504,DIAPH1,46218,836078,104039
ENSG00000131507,NDFIP1,9131,84897,45938
ENSG00000131508,UBE2D2,7734,464472,102002
ENSG00000131538,TTTY6,488,1865,1865
ENSG00000131548,TTTY6B,488,1865,1865
ENSG00000131558,EXOC4,20662,4190067,813516
ENSG00000131584,ACAP3,21825,83380,17233
ENSG00000131591,C1orf159,27328,409007,34543
ENSG00000131620,ANO1,17681,501692,111226
ENSG00000131626,PPFIA1,37548,692087,113703
ENSG00000131634,TMEM204,3617,48899,26892
ENSG00000131650,KREMEN2,12095,24706,4439
ENSG00000131652,THOC6,10727,29930,3728
ENSG00000131653,TRAF7,7718,89771,22431
ENSG00000131668,BARX1,2849,5554,3750
ENSG00000131669,NINJ1,5473,50210,12799
ENSG00000131686,CA6,5832,144236,29225
ENSG00000131697,NPHP4,38097,692295,129662
ENSG00000131711,MAP1B,19448,379063,102336
ENSG00000131721,RHOXF2,1305,5478,7069
ENSG00000131724,IL13RA1,5732,118079,66967
ENSG00000131725,WDR44,15823,415135,103888
ENSG00000131730,CKMT2,10668,249552,33112
ENSG00000131732,ZCCHC9,12133,84614,11707
ENSG00000131737,KRT34,1744,4753,4753
ENSG00000131738,KRT33B,2875,40087,6306
ENSG00000131746,TNS4,7328,33440,25769
ENSG00000131747,TOP2A,8144,40152,29434
ENSG00000131748,STARD3,33299,391683,26419
ENSG00000131759,RARA,18227,238520,48451
ENSG00000131771,PPP1R1B,13593,71750,9886
ENSG00000131773,KHDRBS3,14679,1099160,199265
ENSG00000131778,CHD1L,20156,398676,53125
ENSG00000131779,PEX11B,4029,15721,7487
ENSG00000131781,FMO5,15368,281764,67699
ENSG00000131788,PIAS3,15461,52434,11314
ENSG00000131791,PRKAB2,6579,30767,17444
ENSG00000131797,CLUHP3,11514,34331,11396
ENSG00000131808,FSHB,4948,11143,4245
ENSG00000131828,PDHA1,19097,127174,17812
ENSG00000131831,RAI2,11822,341728,61288
ENSG00000131844,MCCC2,12262,341406,71416
ENSG00000131845,ZNF304,15222,31905,8591
ENSG00000131848,ZSCAN5A,17961,923969,148713
ENSG00000131849,ZNF132,5383,9763,7408
ENSG00000131864,USP29,7946,33418,12788
ENSG00000131871,SELENOS,8218,34249,6683
ENSG00000131873,CHSY1,8560,115019,76209
ENSG00000131876,SNRPA1,12674,137697,13772
ENSG00000131885,KRT17P1,4092,11798,5140
ENSG00000131899,LLGL1,13389,47407,19288
ENSG00000131910,NR0B2,1154,2477,2477
ENSG00000131914,LIN28A,7457,37846,18944
ENSG00000131931,THAP1,5030,21916,6651
ENSG00000131941,RHPN2,11897,246797,86295
ENSG00000131943,C19orf12,17793,119129,16903
ENSG00000131944,FAAP24,6402,25377,6013
ENSG00000131951,LRRC9,12240,377194,143846
ENSG00000131966,ACTR10,14950,310635,35556
ENSG00000131969,ABHD12B,11518,195579,32810
ENSG00000131979,GCH1,14755,424290,60844
ENSG00000131981,LGALS3,5805,74431,21303
ENSG00000131982,UBE2L2,428,428,428
ENSG00000132000,PODNL1,14360,111070,22205
ENSG00000132002,DNAJB1,9359,98084,15000
ENSG00000132003,ZSWIM4,7949,75699,36770
ENSG00000132004,FBXW9,4727,23657,8590
ENSG00000132005,RFX1,9362,160059,45501
ENSG00000132010,ZNF20,7023,88568,47564
ENSG00000132016,C19orf57,9805,99540,24104
ENSG00000132017,DCAF15,5698,18104,8957
ENSG00000132024,CC2D1A,17471,110401,24678
ENSG00000132026,RTBDN,11587,82780,9950
ENSG00000132031,MATN3,4743,43727,20583
ENSG00000132109,TRIM21,2620,10085,8799
ENSG00000132122,SPATA6,18020,1072598,176836
ENSG00000132128,LRRC41,22819,148278,42412
ENSG00000132141,CCT6B,9111,160963,53219
ENSG00000132153,DHX30,30728,362687,47286
ENSG00000132155,RAF1,19250,377185,80625
ENSG00000132164,SLC6A11,7640,135261,124533
ENSG00000132170,PPARG,20839,1489406,146988
ENSG00000132182,NUP210,12046,180085,104074
ENSG00000132185,FCRLA,22656,91813,7380
ENSG00000132196,HSD17B7,8925,93558,22115
ENSG00000132199,ENOSF1,31825,485429,42352
ENSG00000132204,LINC00470,9447,984314,153961
ENSG00000132205,EMILIN2,8212,83382,68963
ENSG00000132207,SLX1A,5694,16520,3674
ENSG00000132254,ARFIP2,15794,38867,6796
ENSG00000132256,TRIM5,16511,595207,275062
ENSG00000132259,CNGA4,2788,12563,9664
ENSG00000132274,TRIM22,12686,158375,47400
ENSG00000132275,RRP8,11335,19569,8545
ENSG00000132286,TIMM10B,5352,8417,3232
ENSG00000132294,EFR3A,14275,279843,109554
ENSG00000132297,HHLA1,8702,102582,49673
ENSG00000132300,PTCD3,18757,160643,35975
ENSG00000132305,IMMT,21588,447046,51838
ENSG00000132313,MRPL35,6255,53683,14439
ENSG00000132321,IQCA1,19281,989505,183395
ENSG00000132323,ILKAP,13363,229119,33328
ENSG00000132326,PER2,8699,76470,46064
ENSG00000132329,RAMP1,3138,210054,53221
ENSG00000132330,SCLY,25778,389949,38524
ENSG00000132334,PTPRE,25989,570429,178794
ENSG00000132341,RAN,14688,47437,5799
ENSG00000132356,PRKAA1,12314,217889,38995
ENSG00000132357,CARD6,5309,33037,18991
ENSG00000132359,RAP1GAP2,25957,1018541,282034
ENSG00000132361,CLUH,24968,117947,23277
ENSG00000132376,INPP5K,20264,221711,22317
ENSG00000132382,MYBBP1A,23215,90014,16734
ENSG00000132383,RPA1,11176,202550,70380
ENSG00000132386,SERPINF1,8714,93068,15615
ENSG00000132388,UBE2G1,8425,478662,97369
ENSG00000132394,EEFSEC,5459,703057,255192
ENSG00000132405,TBC1D14,24536,464096,123876
ENSG00000132406,TMEM128,2948,25329,12670
ENSG00000132423,COQ3,3825,75579,24804
ENSG00000132424,PNISR,20196,131018,27280
ENSG00000132429,POPDC3,3967,50220,21715
ENSG00000132432,SEC61G,4465,40591,7724
ENSG00000132434,LANCL2,7821,163061,68294
ENSG00000132436,FIGNL1,31095,159324,98407
ENSG00000132437,DDC,19505,1017633,107021
ENSG00000132446,FTHL17,812,812,812
ENSG00000132463,GRSF1,20233,153423,24163
ENSG00000132464,ENAM,7127,80798,58072
ENSG00000132465,JCHAIN,4772,78071,26276
ENSG00000132466,ANKRD17,43334,969432,185422
ENSG00000132467,UTP3,2072,2072,2072
ENSG00000132470,ITGB4,32879,232823,36490
ENSG00000132471,WBP2,21493,132855,10808
ENSG00000132475,H3F3B,13774,25944,9459
ENSG00000132478,UNK,9246,102954,41028
ENSG00000132481,TRIM47,7256,13403,4414
ENSG00000132485,ZRANB2,15120,81911,18006
ENSG00000132507,EIF5A,12155,46654,5464
ENSG00000132510,KDM6B,14425,38164,14892
ENSG00000132514,CLEC10A,7982,26179,5770
ENSG00000132517,SLC52A1,12631,30586,19409
ENSG00000132518,GUCY2D,4216,18436,17745
ENSG00000132522,GPS2,16822,31443,4240
ENSG00000132530,XAF1,18880,173534,20200
ENSG00000132535,DLG4,16858,132549,29812
ENSG00000132541,RIDA,4563,66525,14897
ENSG00000132549,VPS13B,44788,3091904,864314
ENSG00000132554,RGS22,29860,1155747,170332
ENSG00000132561,MATN2,29300,1323070,167876
ENSG00000132563,REEP2,11402,58818,7952
ENSG00000132570,PCBD2,8146,273962,103053
ENSG00000132581,SDF2,8871,104721,13833
ENSG00000132589,FLOT2,17442,156680,18344
ENSG00000132591,ERAL1,8871,29488,6129
ENSG00000132600,PRMT7,31334,589842,47589
ENSG00000132603,NIP7,8415,15546,3681
ENSG00000132604,TERF2,11875,192190,53010
ENSG00000132612,VPS4A,7515,22222,15583
ENSG00000132613,MTSS1L,8118,54071,24862
ENSG00000132622,HSPA12B,6135,40844,20444
ENSG00000132623,ANKEF1,11457,121835,72177
ENSG00000132631,SCP2D1,666,666,666
ENSG00000132635,PCED1A,7288,23325,5876
ENSG00000132639,SNAP25,7255,265123,88588
ENSG00000132640,BTBD3,34132,268771,35886
ENSG00000132646,PCNA,2690,16746,11673
ENSG00000132661,NXT1,1121,4041,4041
ENSG00000132664,POLR3F,7071,74875,17516
ENSG00000132669,RIN2,12400,496545,115936
ENSG00000132670,PTPRA,19459,1122235,174892
ENSG00000132671,SSTR4,1426,1426,1426
ENSG00000132676,DAP3,22384,573901,51050
ENSG00000132677,RHBG,13796,103596,16007
ENSG00000132680,KIAA0907,14025,94419,21357
ENSG00000132681,ATP1A4,15039,118245,35407
ENSG00000132688,NES,5554,8634,8634
ENSG00000132692,BCAN,12593,64571,18142
ENSG00000132693,CRP,6126,13907,2300
ENSG00000132694,ARHGEF11,20084,247215,110530
ENSG00000132698,RAB25,4819,43887,9354
ENSG00000132702,HAPLN2,5052,21872,6431
ENSG00000132703,APCS,924,1040,1040
ENSG00000132704,FCRL2,10735,96305,31399
ENSG00000132716,DCAF8,26810,385277,46816
ENSG00000132718,SYT11,5236,25690,25690
ENSG00000132740,IGHMBP2,15430,91314,36760
ENSG00000132744,ACY3,2218,12986,8104
ENSG00000132746,ALDH3B2,9437,60037,19038
ENSG00000132749,TESMIN,11178,109102,44124
ENSG00000132763,MMACHC,7402,25125,13329
ENSG00000132768,DPH2,18016,29052,3369
ENSG00000132773,TOE1,7188,15123,4305
ENSG00000132780,NASP,29751,530105,35058
ENSG00000132781,MUTYH,43402,304793,11307
ENSG00000132792,CTNNBL1,13311,1004413,178174
ENSG00000132793,LPIN3,6353,28086,19662
ENSG00000132801,ZSWIM3,2771,21505,21505
ENSG00000132819,RBM38,6852,83860,17926
ENSG00000132821,VSTM2L,3437,124579,42246
ENSG00000132823,OSER1,3178,27875,14295
ENSG00000132824,SERINC3,7347,67370,25888
ENSG00000132825,PPP1R3D,3629,3629,3629
ENSG00000132832,LINC01260,2407,46692,39645
ENSG00000132837,DMGDH,12668,561318,238432
ENSG00000132840,BHMT2,6456,84017,19749
ENSG00000132842,AP3B1,14207,731756,294230
ENSG00000132846,ZBED3,7139,33166,15251
ENSG00000132849,PATJ,37673,2613805,436198
ENSG00000132854,KANK4,11841,225884,82435
ENSG00000132855,ANGPTL3,3917,12356,8672
ENSG00000132872,SYT4,9910,50129,9772
ENSG00000132874,SLC14A2,13404,767652,470691
ENSG00000132879,FBXO44,14288,60984,8952
ENSG00000132881,RSG1,1872,9840,5462
ENSG00000132906,CASP9,16140,280972,35702
ENSG00000132911,NMUR2,2509,51617,41836
ENSG00000132912,DCTN4,16254,332119,50669
ENSG00000132915,PDE6A,22888,354586,86838
ENSG00000132932,ATP8A2,19325,2181671,653780
ENSG00000132938,MTUS2,18878,1534543,685599
ENSG00000132950,ZMYM5,17320,241125,40154
ENSG00000132952,USPL1,9002,98380,43077
ENSG00000132953,XPO4,21033,332673,125719
ENSG00000132958,TPTE2,11082,588873,113885
ENSG00000132963,POMP,2745,39642,19821
ENSG00000132964,CDK8,9505,394000,151134
ENSG00000132965,ALOX5AP,2662,81925,50948
ENSG00000132967,HMGB1P5,1625,1625,1110
ENSG00000132970,WASF3,10371,297116,131245
ENSG00000132972,RNF17,13673,314555,115769
ENSG00000132975,GPR12,6828,7565,5585
ENSG00000133019,CHRM3,16036,1680933,528887
ENSG00000133020,MYH8,6001,31628,31628
ENSG00000133026,MYH10,27539,594150,156556
ENSG00000133027,PEMT,9577,765942,86145
ENSG00000133028,SCO1,12892,54435,25901
ENSG00000133030,MPRIP,37044,670119,175134
ENSG00000133048,CHI3L1,6327,18687,7818
ENSG00000133055,MYBPH,3553,15974,8002
ENSG00000133056,PIK3C2B,19107,192398,72096
ENSG00000133059,DSTYK,16624,151509,69061
ENSG00000133063,CHIT1,14542,190780,60814
ENSG00000133065,SLC41A1,11812,45622,24655
ENSG00000133067,LGR6,15412,604205,125880
ENSG00000133069,TMCC2,20538,232279,45167
ENSG00000133083,DCLK1,34306,1193729,362654
ENSG00000133101,CCNA1,4238,27384,11362
ENSG00000133103,COG6,16628,423373,136038
ENSG00000133104,SPART,22986,283877,68542
ENSG00000133105,RXFP2,6015,127176,63846
ENSG00000133106,EPSTI1,15390,716568,105883
ENSG00000133107,TRPC4,23666,1702563,233789
ENSG00000133110,POSTN,22812,234521,36261
ENSG00000133111,RFXAP,2831,13551,9880
ENSG00000133112,TPT1,20125,52541,7899
ENSG00000133114,GPALPP1,17071,171730,48140
ENSG00000133115,STOML3,4103,50074,25141
ENSG00000133116,KL,8210,97582,49712
ENSG00000133119,RFC3,4453,303609,148509
ENSG00000133121,STARD13,23031,882373,247495
ENSG00000133124,IRS4,3927,3927,3927
ENSG00000133131,MORC4,9591,298753,186373
ENSG00000133134,BEX2,3368,6069,1700
ENSG00000133135,RNF128,6290,269895,103199
ENSG00000133136,GNG5P2,206,206,206
ENSG00000133138,TBC1D8B,17575,239230,73465
ENSG00000133142,TCEAL4,12240,31060,11505
ENSG00000133169,BEX1,861,1589,1589
ENSG00000133193,FAM104A,8005,159205,29400
ENSG00000133195,SLC39A11,14958,2872774,446763
ENSG00000133216,EPHB2,18655,1043357,210661
ENSG00000133226,SRRM1,28811,260211,41551
ENSG00000133243,BTBD2,13456,198751,49443
ENSG00000133246,PRAM1,5268,19251,13056
ENSG00000133247,KMT5C,13126,47186,8267
ENSG00000133250,ZNF414,6691,16057,4486
ENSG00000133256,PDE6B,13802,135450,45198
ENSG00000133265,HSPBP1,8506,95285,18150
ENSG00000133275,CSNK1G2,9782,127803,40189
ENSG00000133302,SLF1,11723,241150,121089
ENSG00000133313,CNDP2,32032,300663,27638
ENSG00000133315,MACROD1,4719,637435,167548
ENSG00000133316,WDR74,15480,72205,9467
ENSG00000133317,LGALS12,8274,49261,10690
ENSG00000133318,RTN3,26804,904673,78445
ENSG00000133321,RARRES3,3518,45406,9653
ENSG00000133328,HRASLS2,738,10613,10613
ENSG00000133392,MYH11,57304,1063561,153861
ENSG00000133393,FOPNL,8777,189040,22905
ENSG00000133398,MED10,2706,11118,6713
ENSG00000133401,PDZD2,26434,1035425,471521
ENSG00000133422,MORC2,12211,115315,43168
ENSG00000133424,LARGE1,25976,4338978,760615
ENSG00000133433,GSTT2B,1908,7306,3772
ENSG00000133454,MYO18B,43255,1485877,288897
